2026-02-20 07:14:11.957: [INFO] VisibilityChanged: 0
2026-02-20 07:14:11.993: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.994: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.995: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.996: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.997: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.998: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:11.999: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.000: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.001: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.002: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.003: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.015: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-02-20 07:14:12.015: [INFO] OnDoneLoading sync enabled: 0
2026-02-20 07:14:12.053: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-20 07:14:12.658: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-20 07:14:12.663: [INFO] Primary account changed.
2026-02-20 07:14:12.663: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-02-20 07:14:12.665: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-20 07:14:17.030: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.030: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.031: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.031: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.031: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.032: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.032: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.032: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.032: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.033: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.033: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.033: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.034: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.034: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.034: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.035: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.035: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.035: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.036: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.036: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.036: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.037: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.037: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-20 07:14:17.037: [INFO] BookmarkNodeAdded, ABU: 0
